date;rf;BAB2;MOM;IV;STRAT2;fund2
1970-03-01;0.0053454287244886;0.0865293350777096;0.133878553222844;-0.027413;;
1970-04-01;0.0054265992379555;-0.0535011006767576;-0.0282029371214817;0.2076693559699592;;
1970-05-01;0.0052571613806427;-0.0391003616114649;0.0724882057713085;0.104380770591219;;
1970-06-01;0.0049420802433473;-0.0572920150132773;0.0756080969467296;0.2582976080987384;;
1970-07-01;0.0049127271639275;0.0001758370962515;-0.3712649820050709;-0.132586141131308;;
1970-08-01;0.005090674105442;0.0412894527325232;-0.3601917484325929;-0.1924148152900846;;
1970-09-01;0.0048490414558046;-0.0758777205224263;-0.2806976338210922;0.0865662203781882;;
1970-10-01;0.0043948761863424;0.0024710518063327;0.2434536274470955;0.005805012173631;;
1970-11-01;0.0037076942182036;0.0668588391251983;0.0201191883375391;-0.1507787283791605;;
1970-12-01;0.0036992389095629;0.1043061059605128;-0.0783417675606908;-0.0571939995420167;;
1971-01-01;0.0033852613304714;0.0891065565775302;0.1805084666042259;-0.1040377609251698;;
1971-02-01;0.0026907338235189;-0.027033563074349;0.1369752776041158;0.1923939429263631;;
1971-03-01;0.0028386343774685;-0.0454250838548072;-0.3621463776804849;0.4512637334869943;;
1971-04-01;0.0030633396706814;-0.0181447615144752;-0.2708562253664576;0.3686596692597481;;
1971-05-01;0.0032247039450728;-0.0487813909118163;0.0560173595204519;0.2384973584871106;;
1971-06-01;0.0041827415485127;-0.0171915317825892;0.0202662744405439;-0.0703691044685318;;
1971-07-01;0.0042169682325731;-0.0068744793360155;-0.1153324249983461;-0.1180713395836578;;
1971-08-01;0.0036735536335507;0.0088868238442213;0.0678339679367021;0.2261766867234524;;
1971-09-01;0.0037755116794985;0.0034925009008162;0.0014604760677719;-0.0102332225339799;;
1971-10-01;0.0033263105643394;0.0072773357774229;-0.081956434195042;-0.1079725183259079;;
1971-11-01;0.0031903183975465;-0.0214517830905806;0.0497732087444477;0.1149465332036206;;
1971-12-01;0.0027921815646507;0.000457062153448;-0.1981742161992372;0.3013276434730371;;
1972-01-01;0.0026057942959712;-0.0018257982784284;0.2218364770965683;0.1972328416808001;;
1972-02-01;0.0026225782322082;-0.0300970143929731;0.1832604456250829;0.1385827821592925;;
1972-03-01;0.0029023146699024;-0.0221120679698138;0.1424748509544084;0.117781967316451;;
1972-04-01;0.0027076923146729;0.0019433348199103;-0.1201371034008272;-0.0550467812018606;;
1972-05-01;0.0028344064781321;-0.0428289671577726;0.1391583708539945;0.2264454943303018;;
1972-06-01;0.0030209882675253;0.0046104605929568;0.1486240715134612;0.1222687570627508;;
1972-07-01;0.0029277340285526;-0.0139495992141181;0.0729834761009254;-0.1324648431273123;;
1972-08-01;0.0035887834952282;0.0318760811184782;-0.079244049401116;-0.0435734762707644;;
1972-09-01;0.0036909383287219;0.0430414349860767;-0.239871644345246;-0.0779243241707332;;
1972-10-01;0.0037838030644534;0.0886726930250951;-0.3915670184578625;-0.1757359740596988;;
1972-11-01;0.004097904474831;0.1573066092646805;-0.3494627665624893;-0.1893307060072502;;
1972-12-01;0.004056019204043;-0.0502444423354303;0.0104724891901;-0.1046306176677487;;
1973-01-01;0.004642829833284;-0.0038667211012491;0.12449543836016;-0.1231903851393023;;
1973-02-01;0.0046495160524205;0.00680440442955;0.1353565712388346;-0.1246669256973701;0.004172226593139608;0.005327116410304636
1973-03-01;0.0048957613251818;0.0041714402878526;0.0045790165748307;-0.1895915815263032;-0.03167823818771699;-0.00024901809989332814
1973-04-01;0.0049891682908994;0.0598486874861548;0.49216159044926;-0.2233394853425458;0.0775204096194771;0.01757905432150332
1973-05-01;0.005438867533861;-0.011166119129103;0.0311787378758854;-0.2811135735234827;-0.0529887871968323;-0.003166902159342834
1973-06-01;0.0061964142972422;0.001606124115414;0.1208516395825143;-0.0885282705737557;0.004833850288088391;0.006981467220914371
1973-07-01;0.0069265214418564;-0.0385595694272408;-0.108069394154494;-0.0699534375678891;-0.055642288110802574;-0.00211019636234136
1973-08-01;0.0071510640853281;-0.0136883972735817;0.3183284817810661;-0.1599542909347274;0.013025285335235497;0.009266466450868614
1973-09-01;0.0061126318850435;0.0281079424702281;0.0747543404890057;-0.1760743713124967;-0.000979488846319855;0.005953555675256337
1973-10-01;0.0057734963495018;0.0373026043167533;0.2515369241500536;-0.1457423811360215;0.03852326506518665;0.012029958603483333
1973-11-01;0.0062062012917272;-0.0028208526415307;0.6799846528824466;-0.118076487784494;0.07469086092925602;0.018336547754586402
1973-12-01;0.006136268383761;0.0638373980662147;0.3091946213598364;-0.288600631042236;0.0358420717083561;0.011957285069869428
1974-01-01;0.006291944734231;-0.01866999428248;-0.5552433948738852;0.3562919712146969;-0.026540810155876768;0.001981521496497887
1974-02-01;0.0061472681271693;0.0715698976981033;0.3440267011229521;-0.2969347638476529;0.044645451481079505;0.013398018590056748
1974-03-01;0.0070829185945799;-0.1121927177941608;-0.0805925628727993;0.1839508605915943;-0.05418333405479035;-0.001716854314986315
1974-04-01;0.0073093930829878;-0.0596277475288001;0.1114713405909497;-0.1052205075925507;-0.04315490158618386;0.00030071891190247904
1974-05-01;0.0065281539330301;-0.0264133814952849;0.1553072686207018;-0.1165474699933953;-0.016513529389722236;0.0038462350164484823
1974-06-01;0.0064005609452156;-0.0643596397009678;0.1755602718640431;0.2601256782787659;0.02967087476060245;0.011219329750720616
1974-07-01;0.0064287856629752;0.0203659326640388;0.2002667826095282;-0.1566395152102108;0.014652093011937716;0.008808393588624707
