date;rf;BAB2;MOM;IV;STRAT2;fund2
1970-02-01;0.0052528937764435;0.0354375988902709;0.1471746272171358;-0.194577;;
1970-03-01;0.0053454287244886;-0.0017980049112561;0.133039926715821;-0.1957240097179229;;
1970-04-01;0.0054265992379555;-0.0532787400513389;0.116628558817996;-0.2123099990708328;;
1970-05-01;0.0052571613806427;-0.0374548095527401;0.0149381627117181;-0.0586048517495875;;
1970-06-01;0.0049420802433473;-0.0218376821743103;-0.0590964981899445;0.0101978083342618;;
1970-07-01;0.0049127271639275;0.0324740916252561;0.1399515977319115;-0.4625265173146041;;
1970-08-01;0.005090674105442;0.0166413681208202;-0.0748521155054603;0.0970163517274884;;
1970-09-01;0.0048490414558046;0.004744657275096;-0.544051333679805;0.5788257839220792;;
1970-10-01;0.0043948761863424;0.0090479287656125;0.2736172094580088;-0.2676606607635567;;
1970-11-01;0.0037076942182036;0.0108007458949135;0.1192643343244369;-0.1265290146394414;;
1970-12-01;0.003699238909563;0.0564665346653127;0.0224529880860152;-0.1851389253445884;;
1971-01-01;0.0033852613304714;0.0550103558523599;-0.2513935310105643;0.6039066823505314;;
1971-02-01;0.0026907338235189;0.0031674954434026;-0.1295000433340253;0.2709501514496438;;
1971-03-01;0.0028386343774685;0.0418473395711256;-0.0854232788888612;0.0928884085033161;;
1971-04-01;0.0030633396706814;0.053259479863213;-0.010458882217634;0.1016041944388596;;
1971-05-01;0.0032247039450728;0.0172125528477358;-0.1597905177628468;0.0343469062087768;;
1971-06-01;0.0041827415485127;0.0045450193964031;0.0713871592389371;-0.1445730053197882;;
1971-07-01;0.0042169682325731;-0.0109374725492722;0.1330526100746906;-0.0933546053102993;;
1971-08-01;0.0036735536335507;0.0228085139723375;-0.0094014791018048;-0.0019124409726258;;
1971-09-01;0.0037755116794985;0.0115337069159751;0.1322426715808338;-0.1480348285177954;;
1971-10-01;0.0033263105643395;-0.0041953557102512;-0.0019176928613439;-0.1436084104611786;;
1971-11-01;0.0031903183975465;2.3482954925966443e-05;0.3718902077915302;-0.1718139286879117;;
1971-12-01;0.0027921815646507;0.0543980728848872;-0.0641300018873916;0.1117099243678828;;
1972-01-01;0.0026057942959712;0.03041865686391;-0.1438765771320684;0.6046622323345063;;
1972-02-01;0.0026225782322082;0.0372573525335126;0.126034475000804;0.3357503622492064;;
1972-03-01;0.0029023146699025;0.0010323137285418;-0.2055336633501105;0.1307121093009339;;
1972-04-01;0.0027076923146729;0.0069388722411135;0.0332646961939966;0.0601409367857846;;
1972-05-01;0.0028344064781321;0.022082562956309;0.2247674572382945;-0.204313138410725;;
1972-06-01;0.0030209882675253;0.0107667720439507;0.1683280321025724;0.0481615272241776;;
1972-07-01;0.0029277340285526;0.0168030779882383;0.409326928745888;-0.0721887875331642;;
1972-08-01;0.0035887834952282;0.0383056878742417;-0.1071174436102877;-0.2028845890821984;;
1972-09-01;0.0036909383287218;-0.0056950140172994;0.0388004226315199;-0.0144565383402849;;
1972-10-01;0.0037838030644534;-0.0134152394141637;-0.2352465275861341;0.0088725569272824;;
1972-11-01;0.004097904474831;-0.0095353069715905;-0.1626674712936946;0.0473898077533005;;
1972-12-01;0.004056019204043;0.0138019091531642;0.1553136198462573;-0.0434447024107486;;
1973-01-01;0.004642829833284;0.0158979358292329;0.0927132614042885;0.266844321512277;0.04525875091724517;0.02750033598824684
1973-02-01;0.0046495160524205;-0.0386262066880881;0.1994685398166901;-0.021095716733864;-0.010298787964763606;-0.0005517898723425268
1973-03-01;0.0048957613251818;-0.0111165071643462;0.11286567420376;-0.0980389017782899;-0.004749110376502412;0.0024972678302997015
1973-04-01;0.0049891682908994;-0.0052695534086173;0.2033828860698853;0.0595795993963878;0.023926079288260613;0.017072809432377774
1973-05-01;0.005438867533861;-0.0307075409879816;0.4336618254440407;-0.4044571680349315;-0.012682999682134023;-0.000966562077483123
1973-06-01;0.0061964142972422;0.0233691446166357;0.0088299744360614;-0.1438748696243969;0.0070307611609471046;0.00974723404488105
1973-07-01;0.0069265214418564;-0.0103965127222678;-0.4054905102298183;0.8496049668364007;0.015402648994005702;0.014705484339594437
1973-08-01;0.0071510640853282;-0.0150101914335781;0.0854706744206756;0.2408744699246601;0.015869133142255423;0.0151656204113804
1973-09-01;0.0061126318850435;0.0214598243384539;-0.5324565105337522;0.4107662340698373;-0.0031661584683301686;0.004513593351925944
1973-10-01;0.0057734963495018;0.0006578354405015;0.1441710881893433;-0.0449416142539734;0.011304308624778006;0.011482631019190791
1973-11-01;0.0062062012917272;-0.0575289263345349;0.2429687350387595;-0.5046709124678139;-0.06181826006768668;-0.025014529094091624
1973-12-01;0.006136268383761;-0.0405330922730784;0.1118901036437094;-0.0435114146036862;-0.024501050095138317;-0.006237756351846205
1974-01-01;0.006291944734231;0.0390606973808864;-0.3119183668526075;0.5358657147226858;0.041753725083997544;0.027379270582997314
1974-02-01;0.0061472681271693;0.0017123610430129;0.0440902262330838;-0.1418113092822675;-0.005270620778315788;0.003485390712542649
1974-03-01;0.0070829185945798;0.0109851341811022;-0.0308048036544575;-0.2104740378702;-0.011022454616654511;0.001516131638756437
1974-04-01;0.0073093930829878;-0.0094819736623042;0.2196937267381608;0.0645470684637202;0.020554377991799017;0.017690188220662713
1974-05-01;0.00652815393303;-0.0175597650874784;0.3299695670828179;-0.1617320642907039;0.007066876387395553;0.010097213335853828
1974-06-01;0.0064005609452156;-0.0073995624886765;-0.0713496105403119;-0.1943751747145731;-0.028986825753715365;-0.008238962564610723
