date;AAPL;GE;GME;PG;TSLA
2000-06-29;-0.058553;-0.014852;;-0.032658;
2000-06-30;0.021951;0.065327;;0.066356;
2000-07-03;0.0179;-0.022406;;-0.024018;
2000-07-05;-0.031653;-0.035963;;-0.004474;
2000-07-06;0.003632;0.007528;;-0.006742;
2000-07-07;0.050663;0.022416;;-0.005656;
2000-07-10;0.049369;0.021925;;0.009101;
2000-07-11;-0.003282;0.014303;;-0.010147;
2000-07-12;0.034029;0.001175;;0.004556;
2000-07-13;-0.04034;-0.016432;;-0.010204;
2000-07-14;0.021018;-0.00358;;0.026346;
2000-07-17;0.010834;0.028743;;0.002232;
2000-07-18;-0.018221;-0.022119;;0.032294;
2000-07-19;-0.079694;0.011905;;0.025459;
2000-07-20;0.046263;0.021177;;-0.001058;
2000-07-21;-0.028345;-0.001152;;0.002119;
2000-07-24;-0.091015;-0.008074;;-0.002114;
2000-07-25;0.028241;0.002326;;0.027542;
2000-07-26;0.0;-0.031323;;-0.016495;
2000-07-27;0.038702;0.001198;;-0.001048;
2000-07-28;-0.070914;-0.026316;;-0.006296;
2000-07-31;0.051746;0.011057;;-0.039071;
2000-08-01;-0.02952;0.025516;;0.038462;
2000-08-02;-0.041825;-0.008294;;-0.014815;
2000-08-03;0.015873;-0.005974;;-0.002148;
2000-08-04;-0.013021;0.015625;;-0.011841;
2000-08-07;0.011873;0.007101;;-0.004357;
2000-08-08;-0.024772;0.010576;;-0.009847;
2000-08-09;0.016043;0.040698;;-0.00442;
2000-08-10;0.001316;0.018994;;0.008879;
2000-08-11;0.002628;-0.007675;;0.025303;
2000-08-14;-0.013106;0.00884;;0.020386;
2000-08-15;-0.007968;0.003286;;0.044164;
2000-08-16;0.038822;-0.008734;;0.007049;
2000-08-17;0.060567;-0.001101;;-0.006;
2000-08-18;-0.027947;-0.005513;;0.014085;
2000-08-21;0.01;0.008869;;0.002976;
2000-08-22;0.023515;-0.012088;;0.013848;
2000-08-23;0.050786;0.030033;;0.003902;
2000-08-24;0.033084;0.020518;;-0.02138;
2000-08-25;0.012531;0.004233;;-0.002979;
2000-08-28;0.022002;0.011591;;0.0;
2000-08-29;0.019376;-0.004167;;-0.007968;
2000-08-30;0.00528;-0.039749;;-0.004016;
2000-08-31;0.02416;0.022876;;-0.003024;
2000-09-01;0.041026;-0.009585;;-0.007078;
2000-09-05;-0.015764;0.010753;;0.01833;
2000-09-06;-0.064064;0.004255;;0.015;
2000-09-07;0.060963;-0.001059;;-0.012808;
2000-09-08;-0.050403;0.016967;;0.012974;
2000-09-11;-0.007431;-0.004171;;-0.011823;
2000-09-12;-0.011765;-0.005236;;0.005982;
2000-09-13;0.004329;-0.001053;;-0.007929;
2000-09-14;-0.019666;-0.00843;;-0.00999;
2000-09-15;-0.028579;-0.034006;;0.0;
2000-09-18;0.098161;0.016502;;0.003027;
2000-09-19;-0.01185;-0.014069;;-0.009054;
2000-09-20;0.018509;-0.005488;;0.004061;
2000-09-21;-0.07141;0.022075;;0.014156;
2000-09-22;-0.079383;-0.009719;;0.018943;
2000-09-25;0.02515;0.013086;;-0.008806;
2000-09-26;-0.038551;0.004306;;-0.025666;
2000-09-27;-0.048603;0.019293;;0.00304;
2000-09-28;0.093231;-0.007361;;0.081818;
2000-09-29;-0.518692;-0.019929;;0.000934;
2000-10-02;-0.058252;0.014085;;0.015858;
2000-10-03;-0.079897;0.009615;;0.011019;
2000-10-04;0.058824;-0.003175;;0.019074;
2000-10-05;-0.066138;0.014862;;0.040998;
2000-10-06;0.005666;-0.00523;;0.012843;
2000-10-09;-0.019718;-0.015773;;-0.01437;
2000-10-10;-0.04023;-0.007479;;-0.006003;
2000-10-11;-0.05988;-0.024758;;0.014668;
2000-10-12;0.019108;-0.037528;;0.001701;
2000-10-13;0.103125;0.045872;;-0.013582;
2000-10-16;-0.025496;0.013158;;-0.009466;
2000-10-17;-0.063954;-0.036797;;0.019114;
2000-10-18;0.0;-0.002247;;0.023529;
2000-10-19;-0.059006;0.002252;;-0.022594;
2000-10-20;0.029703;-0.060674;;-0.001712;
2000-10-23;0.044872;-0.047847;;-0.045455;
2000-10-24;-0.07362;0.071608;;0.058401;
2000-10-25;-0.019868;-0.007034;;0.017827;
2000-10-26;0.0;-0.015348;;0.0;
2000-10-27;0.003378;0.002398;;0.026689;
2000-10-30;0.040404;0.033493;;-0.000812;
2000-10-31;0.012945;0.015046;;-0.070732;
2000-11-01;0.047923;-0.006842;;-0.034121;
2000-11-02;0.088415;-0.013777;;-0.015399;
2000-11-03;-0.002801;-0.006985;;0.0046;
2000-11-06;-0.036517;0.022274;;0.003663;
2000-11-07;-0.005831;0.008028;;-0.000912;
2000-11-08;-0.058651;-0.006826;;0.014612;
2000-11-09;0.006231;0.0;;0.0009;
2000-11-10;-0.055728;-0.0126;;0.030576;
2000-11-13;0.016393;-0.045244;;0.008726;
2000-11-14;0.045161;0.025516;;0.002595;
2000-11-15;-0.018519;-0.004739;;0.012942;
2000-11-16;-0.044025;0.002381;;0.00937;
